000,"{'1044841368944881664': 1, '1030489524802134017': 1, '1030405151297822720': 1, '1046771899731247109': 1, '1046614284162224128': 1, '1046569481030561792': 1, '1046634472433692672': 1, '1027917737765597185': 3, '1046896785887772672': 1, '1045168723030683650': 2, '1041418378911641600': 2, '1045177064087859201': 2, '1046580117554761728': 1, '1027984435927543813': 2}"
0001,"{'1046782232478863361': 1, '1046838367885910016': 1, '1044930945634246659': 1, '1045010002518429696': 1, '1044981571743346689': 1, '1046618881958326273': 1, '1046604785758162944': 1, '1046611784684240896': 1, '1046594976770138114': 1, '1046607359160799232': 1, '1046596355563679744': 1, '1046593375779127296': 1, '1046648672241561600': 1, '1046591761051766785': 1, '1046590106944057344': 1, '1044986471495725056': 1, '1046597813293985795': 1, '1046599013682876417': 1, '1045368253822849025': 1, '1034101619795873793': 1, '1045431085805580294': 1, '1042967665231450112': 1, '1045465583473643520': 1}"
00029,{'1045046586055806977': 1}
00042,{'1034262949261729793': 1}
0005,{'1038221367496400897': 1}
000528a,{'1042953832806924288': 1}
0007,"{'1041404587373195264': 1, '1041464774532448258': 1, '1041465763499069440': 1}"
000itz,{'1046567178718375936': 1}
001,"{'1046690805933658112': 1, '1041321420456976384': 1, '1044923364958240768': 1, '1041441477002440711': 1, '1041381660988764160': 1, '1046399110021074944': 1, '1045418799120310272': 1}"
00111,{'1031798320514166784': 1}
0015,{'1041441477002440711': 1}
001odw,{'1046514406249680896': 1}
002,{'1046610245588578305': 1}
00268,"{'1046560707825856513': 1, '1046577299120955393': 1, '1046561521923502082': 1, '1046598821617311744': 1}"
00268781,"{'1046812246888906753': 1, '1046515967306674176': 1, '1030660987324649473': 1, '1046567405055553539': 1, '1045116041322475521': 1, '1046795227384745989': 1, '1046831370440507393': 1, '1030568892295520256': 1, '1046769027744518144': 1, '1046416418747674624': 1, '1046805471397642240': 1, '1046764578154205189': 1, '1030623415856771072': 1, '1030444547963342848': 1, '1046619838142140417': 1, '1046602715617472512': 1, '1046756079500226564': 1, '1046745788926369792': 1, '1028265618380914689': 1, '1030520968551321600': 1, '1046737212749090818': 1, '1044986676634890240': 1, '1046595919653867520': 1, '1044901612580409344': 1, '1046591822615769089': 1, '1030447717103927296': 1, '1046267106550067202': 1, '1045460050758823937': 1, '1030476238819868672': 1, '1046561617796902912': 1, '1046575168603267072': 1, '1041476366032613376': 1, '1046291956391907328': 1, '1046568995715993601': 1, '1044906557438341120': 1, '1032024043745161217': 1, '1046613464318382085': 1, '1046564683690504193': 1, '1030063198660120576': 1, '1030147225337384960': 1, '1046581706394873856': 1, '1046560571062198278': 1, '1046573365627146241': 1, '1046610200147501061': 1, '1046557523841568769': 1, '1031768640880828416': 1, '1046554769584783360': 1, '1041365476440526855': 1, '1046577468197535744': 1, '1046542501341990915': 1, '1046389211736272897': 1, '1045353373980135424': 1, '1046516709035831299': 1, '1041678831382396928': 1, '1028299195998986240': 1, '1046551136780636160': 1, '1045436895826792448': 1, '1046579202860994560': 1, '1037877722444378112': 1, '1027908829957316608': 1, '1045153969104924672': 1, '1046432143893778432': 1, '1046364755030659072': 1, '1045506028085874688': 1, '1045409431536709632': 1}"
00281161,"{'1046516474729439233': 1, '1046513248118427648': 1}"
003,"{'1046834143852679170': 1, '1046779296067604480': 1, '1046805119327719424': 1, '1046624607602692096': 1, '1046630780242472961': 1, '1046635598822412288': 1, '1045472150390534144': 1, '1041381660988764160': 1}"
00356,{'1045349743931592705': 1}
004,"{'1042877303951372289': 1, '1042852692010459136': 1, '1042957973008646146': 1, '1042722157296594944': 1}"
004oxzcf,{'1046714503726026752': 1}
004vdihs6q,{'1030085168244170755': 1}
005,"{'1037884958231220224': 1, '1046740875995435008': 1, '1039263461648293888': 1}"
00507278,{'1045445416014278656': 1}
